feature	Sample_1S3	Sample_1S6	Sample_1S9	Sample_1S12	Sample_1S15	Sample_1S18	Sample_1S21	Sample_1S24	Sample_4S2	Sample_4S5	Sample_4S8	Sample_4S11	Sample_4S14	Sample_4S17	Sample_4S20	Sample_4S23	Sample_N1	Sample_N7	Sample_N13	Sample_N19	Sample_N25	Sample_N31	Sample_N37	Sample_N43	Sample_2S1	Sample_2S4	Sample_2S7	Sample_2S10	Sample_2S13	Sample_2S16	Sample_2S19	Sample_2S22	Sample_4S3	Sample_4S6	Sample_4S9	Sample_4S12	Sample_4S15	Sample_4S18	Sample_4S21	Sample_4S24	Sample_N2	Sample_N8	Sample_N14	Sample_N20	Sample_N26	Sample_N32	Sample_N38	Sample_N44	Sample_2S2	Sample_2S5	Sample_2S8	Sample_2S11	Sample_2S14	Sample_2S17	Sample_2S20	Sample_2S23	Sample_N3	Sample_N9	Sample_N15	Sample_N21	Sample_N27	Sample_N33	Sample_N39	Sample_N45	Sample_PC1	Sample_PC7	Sample_PC13	Sample_PC18	Sample_PC21	Sample_PC27	Sample_PC31	Sample_PC36	Sample_2S3	Sample_2S6	Sample_2S9	Sample_2S12	Sample_2S15	Sample_2S18	Sample_2S21	Sample_2S24	Sample_N4	Sample_N10	Sample_N16	Sample_N22	Sample_N28	Sample_N34	Sample_N40	Sample_N46	Sample_Pan01	Sample_PC2	Sample_PC8	Sample_PC14	Sample_PC19	Sample_PC22	Sample_PC28	Sample_PC32	Sample_3S1	Sample_3S4	Sample_3S7	Sample_3S10	Sample_3S13	Sample_3S16	Sample_3S19	Sample_3S22	Sample_N5	Sample_N11	Sample_N17	Sample_N23	Sample_N29	Sample_N35	Sample_N41	Sample_N47	Sample_Pan02	Sample_PC3	Sample_PC9	Sample_PC15	Sample_PC20	Sample_PC23	Sample_PC29	Sample_PC33	Sample_2S25	Sample_3S2	Sample_3S5	Sample_3S8	Sample_3S11	Sample_3S14	Sample_3S17	Sample_3S20	Sample_3S23	Sample_N6	Sample_N12	Sample_N18	Sample_N24	Sample_N30	Sample_N36	Sample_N42	Sample_N48	Sample_Pan03	Sample_PC4	Sample_PC10	Sample_PC16	Sample_PC24	Sample_PC30	Sample_PC34	Sample_1S1	Sample_1S4	Sample_1S7	Sample_1S10	Sample_1S13	Sample_1S16	Sample_1S19	Sample_1S22	Sample_3S3	Sample_3S6	Sample_3S9	Sample_3S12	Sample_3S15	Sample_3S18	Sample_3S21	Sample_3S24	Sample_3S25	Sample_N50	Sample_Pan04	Sample_PC5	Sample_PC11	Sample_PC17	Sample_PC25	Sample_PC35	Sample_1S2	Sample_1S5	Sample_1S8	Sample_1S11	Sample_1S14	Sample_1S17	Sample_1S20	Sample_1S23	Sample_1S25	Sample_4S1	Sample_4S4	Sample_4S7	Sample_4S10	Sample_4S13	Sample_4S16	Sample_4S19	Sample_4S22	Sample_4S25	Sample_N49	Sample_Pan05	Sample_Pan06	Sample_PC6	Sample_PC12	Sample_PC26
hsa-miR-378j|miRNA|hsa-miR-378j|hsa-miR-378j|hsa-miR-378j|0|19	3	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	2	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	1	3	0	1	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	1	0	2	0	3	0	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	1	0	0	1	0	3	1	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	2	0	0	0	3	0	0	0	0	1	2	0	0	0	1	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	2	0	1
hsa-miR-379-3p|miRNA|hsa-miR-379-3p|hsa-miR-379-3p|hsa-miR-379-3p|0|22	4	10	2	1	9	2	14	9	7	4	8	15	12	12	10	21	7	10	3	5	14	7	14	17	8	3	5	8	9	10	2	14	1	2	11	5	18	4	15	10	6	5	7	13	9	15	9	5	10	6	9	10	15	61	3	11	10	7	2	21	16	13	19	14	6	2	8	32	11	6	11	11	13	12	11	2	7	12	3	16	7	12	3	10	14	8	4	13	5	23	7	9	6	14	22	9	6	13	4	13	11	10	6	17	6	16	15	16	13	10	19	22	2	8	25	3	8	11	15	29	4	5	15	2	9	7	11	18	13	26	7	5	5	20	11	9	42	4	2	9	7	6	15	32	4	12	15	8	16	5	11	20	2	6	12	5	2	12	12	6	13	20	4	3	23	10	9	8	3	10	3	16	11	5	43	3	18	3	6	10	3	8	22	11	8	14	8	5	11	8	9	22
hsa-miR-379-5p|miRNA|hsa-miR-379-5p|hsa-miR-379-5p|hsa-miR-379-5p|0|21	3734	4007	3392	6031	2982	2893	3639	5441	4166	4150	3305	4948	3160	5036	4365	3905	3891	4346	3981	3895	4619	3398	4249	3920	3580	2122	3711	4113	4899	3109	3621	4791	2949	3633	4822	3033	3972	3156	5131	4219	3630	3082	3520	5458	4752	5003	4185	2737	4755	4643	4217	7559	5468	9972	4713	3768	3618	5551	3951	6060	4702	5437	5218	5298	5255	2585	5779	8745	4167	5395	4972	3895	5800	4930	4854	3628	4060	4579	4725	6186	4337	5899	3919	4697	6350	4053	4200	5002	1903	6353	3998	5352	5071	4971	6305	6082	4433	6669	3356	6848	5205	4586	4359	5325	3956	6328	5356	4653	5210	3843	5731	4879	1628	4469	5034	4572	3513	3862	4293	4843	4640	5154	5582	2161	4783	4038	4850	6346	6082	6821	5338	5188	5103	5594	4018	4469	7880	1935	3369	5159	5408	3859	5312	6094	3070	4252	4776	4372	5766	4558	4507	5966	3944	3691	5878	3427	2816	4210	4920	3545	4812	4355	1477	3414	6786	5553	5158	4115	4091	4719	3491	4941	4030	4060	7216	5226	4859	4365	4471	6045	3486	4504	6631	4103	4317	4677	5080	1670	1888	4492	4397	4835
hsa-miR-380-3p|miRNA|hsa-miR-380-3p|hsa-miR-380-3p|hsa-miR-380-3p|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-380-5p|miRNA|hsa-miR-380-5p|hsa-miR-380-5p|hsa-miR-380-5p|0|22	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0
hsa-miR-381-3p|miRNA|hsa-miR-381-3p|hsa-miR-381-3p|hsa-miR-381-3p|0|22	13300	10316	16988	13456	14989	12479	24999	29569	15363	9685	16370	24193	18086	21799	26147	24859	15760	8919	19508	15342	22929	16818	33183	27220	12270	5571	18910	9577	23077	15635	26695	27559	10158	8817	16360	11327	18816	17483	26489	25131	15063	11539	13123	14406	24335	30447	30171	23061	13347	9769	23171	30918	21946	82282	30772	18019	13885	14841	16963	18800	19109	27292	36408	45111	15862	4432	21200	16548	23164	24410	26305	25374	26674	11937	18133	9262	19230	19894	25834	38943	12888	17327	13801	18419	28803	19802	44025	35264	8757	17236	8298	22818	22097	21374	29109	23505	9217	17418	12146	21580	26544	23585	14922	29734	11546	19633	19573	18999	22045	17865	41738	29949	7282	12413	10072	19238	10216	18518	19334	30325	17166	16347	13179	4940	19590	17052	16643	31219	30118	28224	18350	15817	18970	25694	23858	39002	36539	9296	7897	9864	31422	12997	24832	27367	8738	10430	17620	20089	26423	19432	36552	34393	7311	8636	20418	9224	13026	17706	23718	18796	24638	20548	7056	10053	14579	25919	23786	20558	12458	9609	11950	15678	17084	28570	69134	26828	24335	9830	9147	19739	12709	19312	31951	24193	20107	22878	22097	7528	7344	12947	16774	28028
hsa-miR-381-5p|miRNA|hsa-miR-381-5p|hsa-miR-381-5p|hsa-miR-381-5p|0|22	10	15	11	13	12	13	13	18	18	13	9	22	7	23	9	16	15	17	13	16	15	16	15	9	14	6	10	11	9	11	17	6	11	15	15	15	8	21	16	20	14	14	9	14	9	11	19	15	16	19	15	29	20	21	12	12	13	19	6	13	10	24	17	23	21	4	15	13	20	16	16	31	16	20	17	13	12	10	12	11	12	25	6	18	19	8	20	27	10	23	4	24	19	11	14	16	14	27	17	31	13	16	19	15	19	21	32	12	10	13	25	23	5	17	21	25	19	8	16	13	20	18	21	7	21	14	14	25	14	30	8	12	22	9	9	23	22	11	25	19	23	13	18	17	14	14	11	10	28	17	13	23	12	15	23	13	9	12	10	16	22	17	5	15	22	15	21	13	22	15	19	15	14	17	23	24	18	16	16	17	24	11	27	12	17	9	13	4	4	22	8	24
hsa-miR-382-3p|miRNA|hsa-miR-382-3p|hsa-miR-382-3p|hsa-miR-382-3p|0|21	76	136	77	50	140	53	132	168	132	149	111	98	114	170	133	159	128	100	169	121	187	134	144	121	86	62	93	57	166	93	90	141	39	102	126	35	112	68	166	138	97	58	92	115	227	188	118	51	92	103	143	175	184	230	160	77	91	122	124	140	168	157	179	145	106	60	123	117	161	174	111	78	143	145	113	49	153	172	92	173	123	115	86	115	227	89	99	181	62	170	112	95	154	139	157	166	67	157	74	107	209	142	126	168	84	155	145	95	224	99	145	132	52	100	115	92	48	113	128	195	59	108	114	22	76	64	163	240	158	168	111	98	115	205	111	126	191	56	7	98	97	102	164	162	65	120	113	124	169	127	162	180	43	106	108	28	54	113	95	58	138	90	28	27	185	123	153	115	88	87	72	141	140	86	229	116	144	75	87	128	29	148	220	102	116	168	122	45	61	93	153	156
hsa-miR-382-5p|miRNA|hsa-miR-382-5p|hsa-miR-382-5p|hsa-miR-382-5p|0|22	2843	1879	2328	4106	1103	2086	1523	2604	1823	1955	1821	3103	1123	2307	2088	2787	2794	2472	2532	1753	1673	1549	3014	2081	2210	1209	2057	2623	1601	1389	2751	2360	2779	1834	2523	2815	1735	2310	2248	3111	2713	2207	1406	1875	1479	2481	2311	2633	2126	2051	1566	3876	1967	3237	2248	3053	1832	2705	1408	2048	1560	2700	2582	2908	2954	1805	3679	4264	2411	2117	2342	3246	2617	2443	2494	3246	1501	2117	2752	2657	2627	2730	1574	2026	2942	1314	4946	2757	767	2324	1766	2965	3189	2194	2996	2407	3159	3194	1914	4263	2568	3027	2816	2347	2718	3380	2162	2201	1625	1840	2734	2481	827	2223	2287	3450	1978	1807	2147	2136	3159	2923	2453	1835	2643	2324	1927	2665	2308	3221	2604	2829	2476	1907	1644	3285	5106	1239	4125	1831	4261	3337	2292	2262	2712	2231	2936	1705	2231	2191	2910	2927	2668	1562	2866	4058	1657	2620	3335	3111	1955	2145	1031	3315	2525	2990	2477	1813	2396	2590	1868	1999	1379	2904	3501	3783	2516	2294	1642	2873	3890	1492	3439	3316	3020	1407	1787	961	1072	3401	2295	2697
hsa-miR-383-3p|miRNA|hsa-miR-383-3p|hsa-miR-383-3p|hsa-miR-383-3p|0|19	0	1	2	2	2	2	1	3	1	2	0	2	1	3	3	3	1	0	3	2	2	2	1	1	1	0	0	0	1	3	0	1	1	0	0	0	1	0	2	5	4	0	2	1	0	1	1	1	0	0	2	6	2	6	2	3	0	3	1	1	2	8	3	5	2	1	4	1	2	2	0	0	1	2	3	3	2	2	4	3	4	1	1	1	2	2	3	2	1	3	0	3	1	2	3	1	1	1	0	3	5	4	1	5	3	1	1	3	2	1	2	2	1	2	1	2	1	1	0	1	0	4	0	2	1	0	3	1	3	3	1	1	1	1	2	0	0	0	0	1	2	5	1	1	3	0	2	1	0	3	4	3	0	2	1	2	0	1	2	3	1	2	0	0	2	7	0	5	3	1	1	0	2	4	2	1	2	2	2	3	3	1	3	3	0	0	2	0	1	1	0	0
hsa-miR-383-5p|miRNA|hsa-miR-383-5p|hsa-miR-383-5p|hsa-miR-383-5p|0|22	504	254	475	563	204	278	260	421	301	199	263	522	164	316	436	347	347	269	350	346	267	251	535	325	429	177	414	423	323	180	577	360	616	242	366	467	321	400	360	493	422	448	371	239	326	452	557	627	418	344	278	668	255	1688	476	630	386	371	288	351	292	630	518	697	509	258	564	498	391	348	378	505	501	303	362	407	247	284	686	540	370	422	347	357	449	288	1540	550	121	384	241	589	442	285	482	316	482	379	372	657	404	497	341	446	426	514	434	393	281	275	746	421	103	345	311	628	236	254	318	373	404	503	367	270	412	659	300	436	365	608	393	359	778	292	340	791	634	177	675	257	1148	350	411	318	401	280	476	404	384	413	819	570	333	226	597	766	335	521	456	519	352	396	151	752	410	612	369	290	492	293	292	383	252	898	2031	531	472	287	257	487	527	250	497	627	352	282	393	94	97	560	368	771
hsa-miR-384|miRNA|hsa-miR-384|hsa-miR-384|hsa-miR-384|0|20	9	21	9	10	14	12	25	24	27	16	21	22	26	20	17	16	25	16	13	12	31	16	15	17	20	12	21	10	32	20	16	32	6	13	13	8	16	12	24	30	17	7	14	22	39	21	25	1	26	21	23	30	31	179	40	10	20	26	18	37	34	21	25	23	24	7	19	39	32	47	19	16	31	21	15	7	33	23	24	39	19	27	26	23	39	24	10	33	10	45	24	26	25	32	21	27	8	20	12	16	40	24	17	36	17	26	25	24	40	13	34	30	11	23	31	25	12	21	32	34	13	14	16	1	22	15	27	45	34	47	21	14	22	48	23	15	26	10	2	24	38	15	33	30	8	18	18	25	38	27	17	22	12	18	31	2	8	24	8	12	23	21	5	3	37	29	25	22	22	20	6	18	28	9	101	19	43	16	20	38	7	43	33	12	18	28	31	7	17	17	31	52
hsa-miR-3907|miRNA|hsa-miR-3907|hsa-miR-3907|hsa-miR-3907|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-3908|miRNA|hsa-miR-3908|hsa-miR-3908|hsa-miR-3908|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3909|miRNA|hsa-miR-3909|hsa-miR-3909|hsa-miR-3909|0|22	0	0	0	0	0	0	0	0	1	0	20	0	0	2	0	0	1	1	1	0	1	3	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	3	0	5	0	1	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	3	0	2	3	0	0	2	1	1	1	1	0	1	0	0	0	1	0	0	3	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	2	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	2	1	0	2	1	0	2	1	1	3	0	2	0	0	2	0	1	0	0	1	0	0	3	0
hsa-miR-3911|miRNA|hsa-miR-3911|hsa-miR-3911|hsa-miR-3911|0|22	0	0	3	0	0	0	1	0	0	0	4	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	1	0	0	0	0	5	2	2	0	1	0	0	1	1	0	2	0	0	0	0	0	1	1	1	2	1	0	0	0	1	1	0	0	0	0	1	0	3	1	0	4	0	0	0	0	3	0	1	0	1	0	1	3	0	0	3	0	0	0	0	0	1	1	1	3	1	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0	1	0	0	0	1	0	3	1	0	0	0	0	2	0	0	2	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	5	0	1	0	1	3	0	2	1	0	0	2	0	0	0	0	0	0	2	2	0	2	0	1	0	0	1	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	3	0	1
hsa-miR-3912-3p|miRNA|hsa-miR-3912-3p|hsa-miR-3912-3p|hsa-miR-3912-3p|0|21	0	0	0	0	0	0	1	1	1	0	31	2	0	0	0	1	0	0	6	0	0	0	1	1	1	0	0	1	0	1	1	0	0	0	1	0	2	1	0	1	1	1	0	3	1	1	0	0	0	2	1	5	3	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	3	1	0	2	4	2	0	0	3	1	0	1	6	1	1	0	3	2	1	0	0	0	0	0	2	0	0	0	3	0	3	11	0	0	0	0	1	0	1	0	0	2	1	1	7	1	0	0	4	1	4	0	0	4	0	0	0	2	0	5	2	0	0	0	2	4	5	0	1	0	0	1	0	0	1	0	2	0	1	2	2	0	0	0	3	1	0	0	1	4	1	2	0	0	0	1	1	5	1	0	0	0	0	2	6	1	2	3	6	2	0	0	0	3	0	0	0	0	1	0	0	0	0
hsa-miR-3912-5p|miRNA|hsa-miR-3912-5p|hsa-miR-3912-5p|hsa-miR-3912-5p|0|21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3913-3p|miRNA|hsa-miR-3913-3p|hsa-miR-3913-3p|hsa-miR-3913-3p|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3913-5p|miRNA|hsa-miR-3913-5p|hsa-miR-3913-5p|hsa-miR-3913-5p|0|22	1	0	2	0	0	1	2	0	0	0	75	1	0	2	1	0	3	1	3	3	0	1	0	0	0	0	1	1	0	1	7	2	0	0	0	4	0	1	1	2	0	1	0	1	0	3	1	2	3	1	3	4	0	3	0	0	3	0	1	0	1	1	1	1	0	0	1	0	0	2	2	0	4	0	10	0	0	3	1	3	0	1	2	1	0	1	1	4	0	0	1	2	1	1	0	0	3	7	0	2	14	0	0	0	0	1	1	1	1	0	1	0	0	10	2	0	0	1	1	1	1	1	1	0	2	0	1	0	3	2	1	2	1	0	2	10	0	0	0	2	0	1	0	4	0	3	1	0	0	8	0	1	3	0	1	15	1	0	7	1	3	0	0	2	4	2	8	0	1	1	0	2	1	6	0	0	2	2	2	0	0	0	3	0	0	1	0	0	0	0	2	1
hsa-miR-3914|miRNA|hsa-miR-3914|hsa-miR-3914|hsa-miR-3914|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-3915|miRNA|hsa-miR-3915|hsa-miR-3915|hsa-miR-3915|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3916|miRNA|hsa-miR-3916|hsa-miR-3916|hsa-miR-3916|0|26	2	2	0	2	0	1	1	1	2	1	2	3	0	0	1	0	4	3	1	3	3	1	0	0	1	1	6	3	0	0	3	1	7	0	4	3	0	1	1	1	3	1	1	1	2	1	0	3	2	3	0	5	0	0	1	1	4	1	2	0	2	1	3	2	2	3	3	2	1	1	0	1	1	1	5	9	1	0	1	2	1	1	2	6	0	0	4	0	0	5	2	2	3	0	0	1	5	5	0	3	3	1	2	0	3	2	9	3	2	0	2	0	0	1	5	3	3	1	0	1	4	2	5	6	2	4	1	0	1	3	6	6	4	1	1	0	0	0	4	1	3	4	0	1	4	0	0	1	0	3	1	2	3	1	0	6	5	1	2	1	3	2	1	19	2	6	2	3	6	2	3	1	5	3	4	2	2	5	0	3	3	0	2	0	2	1	3	2	0	2	4	0
hsa-miR-3917|miRNA|hsa-miR-3917|hsa-miR-3917|hsa-miR-3917|0|20	3	3	5	10	0	3	1	3	3	3	3	4	4	0	6	2	1	3	3	6	2	2	2	2	1	0	5	0	4	1	4	1	4	1	8	1	4	3	0	4	1	1	1	4	0	2	2	3	12	1	6	6	2	1	6	2	6	3	6	3	2	0	3	4	3	2	5	7	2	3	1	2	1	2	5	6	7	3	1	7	4	2	7	2	0	4	2	5	0	1	1	0	1	3	3	2	5	3	2	7	3	4	1	5	5	3	0	4	2	3	6	0	1	4	4	7	2	1	1	2	5	5	2	4	7	4	2	0	5	6	1	3	2	0	0	1	1	3	0	1	14	1	1	4	2	1	2	2	2	2	1	0	6	2	7	8	4	5	7	1	1	3	2	1	6	9	1	2	4	4	6	3	3	4	0	3	1	2	6	5	4	5	0	2	2	2	7	0	0	6	0	2
hsa-miR-3918|miRNA|hsa-miR-3918|hsa-miR-3918|hsa-miR-3918|0|21	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3919|miRNA|hsa-miR-3919|hsa-miR-3919|hsa-miR-3919|0|21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3920|miRNA|hsa-miR-3920|hsa-miR-3920|hsa-miR-3920|0|22	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0
